age,initial_rate
16,0.017
17,0.017
18,0.017
19,0.017
20,0.017
21,0.017
22,0.017
23,0.017
24,0.017
25,0.017
26,0.017
27,0.017
28,0.017
29,0.017
30,0.017
31,0.017
32,0.017
33,0.017
34,0.017
35,0.017
36,0.017
37,0.017
38,0.017
39,0.017
40,0.017
41,0.017
42,0.017
43,0.017
44,0.017
45,0.017
46,0.017
47,0.017
48,0.017
49,0.017
50,0.017
51,0.017
52,0.017
53,0.017
54,0.017
55,0.017
56,0.017
57,0.017
58,0.017
59,0.017
60,0.017
61,0.0166
62,0.0162
63,0.0158
64,0.0154
65,0.015
66,0.0146
67,0.0142
68,0.0138
69,0.0134
70,0.013
71,0.0126
72,0.0122
73,0.0118
74,0.0114
75,0.011
76,0.0106
77,0.0102
78,0.0098
79,0.0094
80,0.009
81,0.0086
82,0.0082
83,0.0078
84,0.0074
85,0.007
86,0.0068
87,0.0066
88,0.0064
89,0.0062
90,0.006
91,0.0058
92,0.0056
93,0.0054
94,0.0052
95,0.005
96,0.005
97,0.005
98,0.005
99,0.005
100,0.005
101,0.005
102,0.005
103,0.005
104,0.005
105,0.005
106,0.005
107,0.005
108,0.005
109,0.005
110,0.005
111,0.005
112,0.005
113,0.005
114,0.005
115,0.005
116,0.005
117,0.005
118,0.005
119,0.005
120,0.005
